:END_ID,:START_ID,:TYPE
Q128581,Q5454124,subclass-of_DsoD
Q18553309,Q5712565,subclass-of_DsoD
Q616667,Q357522,subclass-of_DsoD
Q18966185,Q334655,subclass-of_DsoD
Q578994,Q18556342,subclass-of_DsoD
Q809561,Q1051355,subclass-of_DsoD
Q33525,Q1434446,subclass-of_DsoD
Q749409,Q27677710,subclass-of_DsoD
Q172341,Q1153419,subclass-of_DsoD
Q939364,Q18555110,subclass-of_DsoD
Q280027,Q18558038,subclass-of_DsoD
Q18556128,Q18554910,subclass-of_DsoD
Q369157,Q18554606,subclass-of_DsoD
Q48143,Q18556426,subclass-of_DsoD
Q1786496,Q18557308,subclass-of_DsoD
Q179630,Q19597605,subclass-of_DsoD
Q206901,Q18554301,subclass-of_DsoD
Q18557307,Q1687472,subclass-of_DsoD
Q460167,Q1875764,subclass-of_DsoD
Q18558188,Q1423177,subclass-of_DsoD
Q7900616,Q18554021,subclass-of_DsoD
Q18557121,Q21127479,subclass-of_DsoD
Q3251367,Q18557572,subclass-of_DsoD
Q18553310,Q18558115,subclass-of_DsoD
Q950838,Q1053948,subclass-of_DsoD
Q3041498,Q18556739,subclass-of_DsoD
Q279330,Q18557576,subclass-of_DsoD
Q13452408,Q26985508,subclass-of_DsoD
Q2661443,Q18557164,subclass-of_DsoD
Q1479681,Q18554073,subclass-of_DsoD
Q708176,Q1544989,subclass-of_DsoD
Q47912,Q18556719,subclass-of_DsoD
Q18556538,Q18555982,subclass-of_DsoD
Q18555947,Q922215,subclass-of_DsoD
Q18553402,Q2901664,subclass-of_DsoD
Q4833719,Q28024737,subclass-of_DsoD
Q33525,Q5065349,subclass-of_DsoD
Q18553364,Q18556576,subclass-of_DsoD
Q18554150,Q17164695,subclass-of_DsoD
Q18557091,Q28024684,subclass-of_DsoD
Q18554021,Q18555012,subclass-of_DsoD
Q2619315,Q27674806,subclass-of_DsoD
Q18553654,Q18554662,subclass-of_DsoD
Q18556448,Q26492788,subclass-of_DsoD
Q18554958,Q18553350,subclass-of_DsoD
Q18555177,Q18554298,subclass-of_DsoD
Q18553439,Q18554830,subclass-of_DsoD
Q18554319,Q6587253,subclass-of_DsoD
Q18971555,Q18556720,subclass-of_DsoD
Q605006,Q5173263,subclass-of_DsoD
Q18553309,Q18557879,subclass-of_DsoD
Q18555046,Q7248853,subclass-of_DsoD
Q1890194,Q212021,subclass-of_DsoD
Q1811132,Q27164435,subclass-of_DsoD
